artist_hotttnesss,artist_id,artist_name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release_id,release_name,similar,song_hotttnesss,song_id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
0.417499645,ARMJAGH1187FB546F3,The Box Tops,['classic pop and rock'],1.0,0.007,0.71054,1.0,0.20627,148.03546,0.148,0.630630038,6.0,0.169,35.14968,"Memphis, TN",-90.04892,-9.843,0,0.43,300822,Dimensions,ARSZWK21187B9B26D7,,SOCIWDW12A8C13D406,137.915,0.969,0.20627,121.274,blue-eyed soul,1.0,4.0,0.384,Soul Deep,1969
0.401723686,ARXR32B1187FB57099,Gob,[],0.0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.651045661,2.0,0.092,37.15735675013362,Not available,-63.93335786851952,-4.501,1,0.371,611336,Muertos Vivos,ARUA62A1187B99D9B0,0.604500739,SOFSOCN12A8C143F5D,198.699,1.0,0.13576,129.738,pop punk,0.887288301,4.0,0.562,Face the Ashes,2007
0.605507136,AR10USD1187B99F3F1,Tweeterfriendly Music,[],0.0,0.142,0.65428,0.234,0.65428,189.57016,0.319,0.801136447,4.0,0.0,37.15735675013362,"Burlington, Ontario, Canada",-63.93335786851952,-11.642,0,0.16,8876,Gin & Phonic,ARJXL4Z1187B9A5920,,SOHKNRJ12A6701D1F8,181.023,0.292,0.36129,101.43,post-hardcore,0.999818045,3.0,0.408,Drop of Rain,0
0.351555861,ARC43071187B990240,Wayne Watson,[],0.0,0.018,1.45439,1.0,0.42896,245.21098,0.357,0.545159296,7.0,0.07,37.15735675013362,"Wisner, LA",-63.93335786851952,-7.545,1,0.686,163874,The Way Home,ARKNAD81187B98F8C9,0.265861049,SOKEJEJ12A8C13E0D0,227.48,0.728,0.1727,117.975,ccm,1.0,4.0,0.835,The Urgency (LP Version),0
0.37948217,ARL7K851187B99ACD2,Andy Andy,[],0.0,0.013,1.2229,0.699,0.29639,226.35057,0.0,0.577508974,9.0,0.205,37.15735675013362,Not available,-63.93335786851952,-6.632,1,0.305,575792,Placer & Castigo,ARATQJ61187B9B97E3,0.0,SOMUYGI12AB0188633,221.553,1.0,0.06508,130.04,bachata,1.0,4.0,0.0,La Culpa,0
0.447935481,ARD842G1187B997376,Blue Rodeo,['canadian'],2.0,0.507,1.32118,0.0,0.30065,491.12771,0.0,0.636423645,7.0,1.0,43.64856,"Toronto, Ontario, Canada",-79.38533,-8.576,1,0.829,135122,Outskirts,ARGCEMX1187B9921A4,0.405115722,SOHUOAP12A8AE488E9,486.034,0.377,0.05047,119.826,country rock,1.0,4.0,0.756,Floating,1987
0.330806357,ARIG6O41187B988BDD,Richard Souther,[],0.0,0.125,1.19076,0.768,0.24795,228.5971,0.223,0.419943148,8.0,0.041,37.16793,United States,-95.84502,-16.11,1,0.516,149958,Cross Currents,AR6UR8S1187B9B928F,0.334706549,SOUQQEA12A8C134B1B,217.426,0.767,0.08584,127.756,chill-out,0.830058031,5.0,0.579,High Tide,0
0.51346329,ARYKCQI1187FB3B18F,Tesla,[],0.0,0.03,0.8752,1.0,0.05728,290.29832,0.145,0.707199764,7.0,0.725,37.15735675013362,Not available,-63.93335786851952,-5.271,1,0.756,372309,Gold,ARO353H1187B9A43E9,0.684136191,SOXLBJT12A8C140925,285.605,0.238,0.05728,150.062,hard rock,1.0,4.0,0.931,Caught In A Dream,2004
0.378254686,AR5KOSW1187FB35FF4,Elena,[],0.0,0.552,1.06937,0.0,0.51434,269.58322,0.0,0.677420465,2.0,0.596,49.80388,Dubai UAE,15.47491,-8.05,1,0.666,386995,Un cafe_ setanta matins,ARDFZRH1269FCD3ADD,0.313562114,SOZCTXZ12AB0182364,256.168,0.978,0.51434,111.874,uk garage,0.935319892,4.0,1.0,Setanta matins,0
0.541888972,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,['rock and indie'],1.0,0.027,1.06698,0.931,0.33578,207.77751,0.061,0.839962768,7.0,0.381,40.82624,"Morris Plains, NJ",-74.47995,-4.264,1,0.453,223365,Miss Machine,ARNUJQM1187FB3EE72,0.666527846,SOBBUGU12A8C13E95D,204.696,0.654,0.15349,166.862,math-core,0.944381208,4.0,0.0,Setting Fire to Sleeping Giants,2004
